FileName,FrameIndex,TrackedID,LocalID,CentroidX_px,CentroidY_px,Area_px2,Area_um2,Perimeter_px,Perimeter_um,Radius_px,Radius_um
IRI3_0001.tiff,1,481,1,392.153333333333,6.52666666666667,150,29.04,43.046,18.94024,6.90988298942671,3.04034851534775
IRI3_0001.tiff,1,514,2,445.413223140496,5.70247933884298,121,23.4256,39.374,17.32456,6.20608541902532,2.73067758437114
IRI3_0001.tiff,1,536,3,315.224576271186,91.6652542372881,236,45.6896,53.194,23.40536,8.66724484131922,3.81358773018046
IRI3_0001.tiff,1,57,4,1064.22317596567,188.618025751073,233,45.1088,52.334,23.02696,8.61198022993685,3.78927130117222
IRI3_0001.tiff,1,57,5,1086.55434782609,280.586956521739,184,35.6224,45.974,20.22856,7.65303985732581,3.36733753722336
IRI3_0001.tiff,1,88,6,485.512605042017,287.378151260504,119,23.0384,36.678,16.13832,6.15458174499869,2.70801596779942
IRI3_0001.tiff,1,501,7,685.495867768595,299.743801652893,121,23.4256,37.902,16.67688,6.20608541902532,2.73067758437114
IRI3_0001.tiff,1,46,8,24.4777777777778,311.388888888889,90,17.424,34.189,15.04316,5.35237234845831,2.35504383332166
IRI3_0001.tiff,1,112,9,174.489473684211,316.694736842105,190,36.784,47.843,21.05092,7.77681672504375,3.42179935901925
IRI3_0001.tiff,1,166,10,685.375,393.284090909091,88,17.0368,31.625,13.915,5.29256742840123,2.32872966849654
IRI3_0001.tiff,1,171,11,324.471590909091,400.539772727273,176,34.0736,45.792,20.14848,7.48482063701911,3.29332108028841
IRI3_0001.tiff,1,175,12,49.7333333333333,530.209523809524,105,20.328,33.701,14.82844,5.78122288528111,2.54373806952369
IRI3_0001.tiff,1,498,13,1188.21666666667,539.341666666667,120,23.232,36.463,16.04372,6.18038723237103,2.71937038224325
IRI3_0001.tiff,1,311,14,899.403669724771,721.073394495413,109,21.1024,34.528,15.19232,5.89031218137317,2.5917373598042
IRI3_0001.tiff,1,319,15,1029.78151260504,763.126050420168,119,23.0384,37.05,16.302,6.15458174499869,2.70801596779942
IRI3_0001.tiff,1,351,16,140.111111111111,779.407407407407,108,20.9088,36.132,15.89808,5.86323014283504,2.57982126284742
IRI3_0001.tiff,1,381,17,341.623595505618,821.747191011236,178,34.4608,44.684,19.66096,7.5272278921735,3.31198027255634
IRI3_0001.tiff,1,339,18,457.422077922078,891.071428571429,154,29.8144,41.665,18.3326,7.00140860629515,3.08061978676987
IRI3_0001.tiff,1,387,19,65.7156862745098,976.588235294118,102,19.7472,35.115,15.4506,5.69803548521301,2.50713561349372
IRI3_0001.tiff,1,433,20,499.388888888889,980.833333333333,162,31.3632,42.955,18.9002,7.18096104722579,3.15962286077935
IRI3_0001.tiff,1,431,21,305.379562043796,984.795620437956,137,26.5232,39.887,17.55028,6.60366976818037,2.90561469799936
IRI3_0001.tiff,1,586,22,262.299212598425,986.133858267717,127,24.5872,38.266,16.83704,6.35809370372452,2.79756122963879
IRI3_0001.tiff,1,431,23,329.912087912088,986.791208791209,91,17.6176,32.452,14.27888,5.38202560777306,2.36809126742015
